iter	Passed	Remaining
479	703	761
480	704	760
481	706	759
482	708	758
483	709	756
484	711	755
485	713	754
486	714	752
487	716	751
488	717	750
489	719	748
490	720	747
491	721	745
492	723	743
493	724	742
494	726	740
495	727	739
496	729	738
497	730	736
498	732	735
499	734	734
500	735	732
501	737	731
502	738	729
503	739	728
504	741	726
505	742	725
506	744	723
507	745	722
508	747	720
509	748	719
510	750	718
511	752	716
512	753	715
513	754	713
514	756	712
515	757	710
516	758	708
517	759	706
518	760	705
519	762	703
520	763	702
521	764	700
522	766	698
523	767	697
524	769	695
525	769	693
526	770	691
527	772	690
528	773	688
529	774	687
530	776	685
531	778	684
532	779	683
533	781	681
534	782	680
535	783	678
536	785	677
537	786	675
538	788	674
539	790	673
540	791	671
541	793	670
542	794	668
543	795	666
544	797	665
545	798	664
546	800	662
547	801	661
548	802	659
549	804	658
550	805	656
551	806	654
552	808	653
553	810	652
554	812	651
555	813	649
556	815	648
557	816	647
558	818	645
559	819	644
560	821	642
561	822	641
562	824	639
563	825	638
564	826	636
565	828	635
566	830	633
567	831	632
568	832	630
569	834	629
570	835	627
571	837	626
572	838	624
573	840	623
574	841	622
575	843	620
576	844	619
577	846	618
578	848	617
579	850	615
580	851	614
581	853	613
582	854	611
583	856	610
584	857	608
585	859	607
586	861	605
587	862	604
588	864	602
589	865	601
590	867	600
591	869	598
592	870	597
593	872	596
594	873	594
595	874	592
596	876	591
597	877	590
598	879	588
599	881	587
600	883	586
601	884	585
602	886	583
603	887	582
604	889	580
605	890	579
606	892	577
607	894	576
608	895	575
609	897	573
610	899	572
611	899	570
612	901	569
613	903	567
614	905	566
615	906	565
616	908	563
617	909	562
618	910	560
619	911	558
620	913	557
621	914	555
622	915	554
623	916	552
624	918	550
625	919	549
626	920	547
627	921	546
628	923	544
629	925	543
630	926	541
631	927	540
632	929	538
633	931	537
634	932	536
635	933	534
636	934	532
637	936	531
638	937	529
639	939	528
640	939	526
641	940	524
642	942	523
643	944	521
644	945	520
645	947	519
646	948	517
647	950	516
648	951	514
649	952	512
650	954	511
651	955	510
652	957	508
653	959	507
654	960	506
655	962	504
656	963	503
657	965	501
658	966	500
659	968	499
660	970	497
661	971	496
662	972	494
663	974	493
664	976	491
665	977	490
666	979	488
667	980	487
668	982	486
669	984	484
670	986	483
671	987	482
672	989	480
673	990	479
674	992	477
675	994	476
676	996	475
677	997	473
678	999	472
679	1000	471
680	1001	469
681	1003	467
682	1005	466
683	1006	464
684	1008	463
685	1010	462
686	1011	460
687	1013	459
688	1014	457
689	1016	456
690	1017	455
691	1018	453
692	1020	451
693	1021	450
694	1023	448
695	1024	447
696	1026	446
697	1027	444
698	1028	442
699	1030	441
700	1032	440
701	1033	438
702	1034	437
703	1036	435
704	1037	434
705	1039	432
706	1041	431
707	1042	430
708	1044	428
709	1046	427
710	1047	425
711	1049	424
712	1050	422
713	1052	421
714	1053	420
715	1055	418
716	1057	417
717	1058	415
718	1060	414
719	1061	412
720	1063	411
721	1064	410
722	1066	408
723	1068	407
724	1069	405
725	1071	404
726	1072	402
727	1073	401
728	1075	399
729	1076	398
730	1078	396
731	1079	395
732	1080	393
733	1082	392
734	1083	390
735	1085	389
736	1086	387
737	1088	386
738	1090	385
739	1092	383
740	1093	382
741	1095	380
742	1096	379
743	1098	377
744	1099	376
745	1101	374
746	1102	373
747	1103	371
748	1105	370
749	1106	368
750	1108	367
751	1110	366
752	1111	364
753	1113	363
754	1114	361
755	1116	360
756	1117	358
757	1119	357
758	1120	355
759	1122	354
760	1123	352
761	1125	351
762	1126	349
763	1127	348
764	1129	346
765	1130	345
766	1132	344
767	1134	342
768	1135	341
769	1136	339
770	1138	338
771	1139	336
772	1140	335
773	1142	333
774	1143	332
775	1145	330
776	1147	329
777	1148	327
778	1149	326
779	1151	324
780	1152	323
781	1154	321
782	1155	320
783	1157	318
784	1159	317
785	1160	316
786	1162	314
787	1163	313
788	1164	311
789	1166	310
790	1167	308
791	1169	307
792	1170	305
793	1172	304
794	1173	302
795	1174	301
796	1176	299
797	1177	298
798	1178	296
799	1180	295
800	1181	293
801	1183	292
802	1185	290
803	1187	289
804	1188	287
805	1190	286
806	1192	285
807	1193	283
808	1195	282
809	1196	280
810	1197	279
811	1199	277
812	1200	276
813	1202	274
814	1203	273
815	1204	271
816	1206	270
817	1207	268
818	1209	267
819	1210	265
820	1212	264
821	1213	262
822	1215	261
823	1217	260
824	1218	258
825	1220	257
826	1222	255
827	1223	254
828	1225	252
829	1226	251
830	1228	249
831	1229	248
832	1231	246
833	1233	245
834	1235	244
835	1237	242
836	1239	241
837	1240	239
838	1242	238
839	1243	236
840	1245	235
841	1247	234
842	1248	232
843	1250	231
844	1251	229
845	1253	228
846	1254	226
847	1256	225
848	1257	223
849	1259	222
850	1260	220
851	1262	219
852	1264	217
853	1266	216
854	1268	215
855	1269	213
856	1271	212
857	1272	210
858	1274	209
859	1276	207
860	1277	206
861	1279	204
862	1280	203
863	1282	201
864	1284	200
865	1285	198
866	1287	197
867	1289	196
868	1291	194
869	1292	193
870	1294	191
871	1295	190
872	1296	188
873	1297	187
874	1299	185
875	1300	184
876	1302	182
877	1303	181
878	1305	179
879	1307	178
880	1308	176
881	1310	175
882	1312	173
883	1313	172
884	1315	170
885	1316	169
886	1318	167
887	1319	166
888	1321	164
889	1322	163
890	1324	162
891	1326	160
892	1327	159
893	1328	157
894	1330	156
895	1332	154
896	1333	153
897	1335	151
898	1336	150
899	1338	148
900	1339	147
901	1341	145
902	1343	144
903	1344	142
904	1346	141
905	1347	139
906	1349	138
907	1351	136
908	1352	135
909	1354	133
910	1355	132
911	1357	130
912	1358	129
913	1359	127
914	1361	126
915	1363	125
916	1364	123
917	1366	122
918	1367	120
919	1369	119
920	1370	117
921	1372	116
922	1373	114
923	1375	113
924	1377	111
925	1379	110
926	1380	108
927	1382	107
928	1383	105
929	1385	104
930	1386	102
931	1388	101
932	1390	99
933	1391	98
934	1392	96
935	1394	95
936	1396	93
937	1397	92
938	1398	90
939	1400	89
940	1402	87
941	1403	86
942	1405	84
943	1406	83
944	1408	81
945	1409	80
946	1411	79
947	1413	77
948	1414	76
949	1416	74
950	1417	73
951	1419	71
952	1421	70
953	1422	68
954	1424	67
955	1425	65
956	1427	64
957	1428	62
958	1430	61
959	1431	59
960	1433	58
961	1434	56
962	1436	55
963	1438	53
964	1439	52
965	1441	50
966	1443	49
967	1444	47
968	1446	46
969	1447	44
970	1449	43
971	1450	41
972	1452	40
973	1454	38
974	1455	37
