iter	Logloss
154	0.4096053508
155	0.4095253051
156	0.4094064933
157	0.4088527062
158	0.4086607424
159	0.4080585305
160	0.4075166729
161	0.407313267
162	0.406755044
163	0.4063773822
164	0.4058543434
165	0.4056909621
166	0.4055235819
167	0.4052042163
168	0.4048940262
169	0.4044986365
170	0.4043416025
171	0.4042752142
172	0.4038752007
173	0.4033605244
174	0.403301082
175	0.4032168015
176	0.402683318
177	0.4022543208
178	0.4021751137
179	0.4016102008
180	0.4015339517
181	0.4010440281
182	0.400774406
183	0.4005581435
184	0.4003018268
185	0.3999417647
186	0.3994100694
187	0.3991750861
188	0.3990405309
189	0.398924565
190	0.3984154909
191	0.3981203028
192	0.3977616599
193	0.3975563028
194	0.3971403531
195	0.3970845134
196	0.3967144421
197	0.3965202317
198	0.3960504211
199	0.3959980094
200	0.3954711122
201	0.3951766316
202	0.394965577
203	0.3947712851
204	0.3945242642
205	0.3940823114
206	0.3939848362
207	0.3935399527
208	0.3931079773
209	0.3928433657
210	0.3926880767
211	0.3924244151
212	0.3920290503
213	0.3917082541
214	0.3915779558
215	0.391480256
216	0.391111905
217	0.3910396421
218	0.3908944236
219	0.390613604
220	0.3902512875
221	0.3902255429
222	0.389972581
223	0.3897865374
224	0.3895986387
225	0.3893457079
226	0.389313841
227	0.3892213846
228	0.388899562
229	0.3888694639
230	0.3885328265
231	0.3881497893
232	0.3877456223
233	0.3874561386
234	0.3872120611
235	0.3870302354
236	0.3867198995
237	0.3864004615
238	0.3862650154
239	0.3859184707
240	0.3858945639
241	0.3856392797
242	0.3854259256
243	0.3851710696
244	0.3849104512
245	0.3846095104
246	0.3843909344
247	0.3840941817
248	0.3838682811
249	0.3836491059
250	0.3834913548
251	0.3832501785
252	0.3830056115
253	0.3828675927
254	0.3827678897
255	0.3825496882
256	0.3823519492
257	0.3821934014
258	0.3821481618
259	0.3821240607
260	0.3820786283
261	0.3820402942
262	0.381761847
263	0.3816722113
264	0.3814832125
265	0.3814534073
266	0.3814052491
267	0.3813695396
268	0.3811379511
269	0.3809049065
270	0.3806935148
271	0.3806375622
272	0.3805233907
273	0.3803511143
274	0.3803221019
275	0.380243312
276	0.3800622636
277	0.37999773
278	0.3798970321
279	0.3798485075
280	0.3795610939
281	0.379482874
282	0.379248642
283	0.3789788034
284	0.3788903897
285	0.3787314524
286	0.3784235313
287	0.3781455851
288	0.3780876609
289	0.3779167714
290	0.3776463463
291	0.3774091749
292	0.3771056956
293	0.3769378459
294	0.376928667
295	0.3766329187
296	0.3765837127
297	0.3764513641
298	0.3762958491
299	0.3762724125
300	0.3762264581
301	0.3760155189
302	0.3757472908
303	0.3755958894
304	0.3753632879
305	0.3751400679
306	0.3748722147
307	0.3748542596
308	0.374744569
309	0.3746515861
310	0.3746272522
311	0.3744302824
312	0.3743298704
313	0.3742523129
314	0.373920445
315	0.3736827109
316	0.3736605957
317	0.3735695009
318	0.373322764
319	0.3732010983
320	0.373081276
321	0.372816007
322	0.372672793
323	0.372472572
324	0.3722833935
325	0.3721326376
326	0.3720531403
327	0.3720204939
328	0.3719383402
329	0.3718681114
330	0.3718158004
331	0.3715345729
332	0.3713130244
333	0.3710787819
334	0.3709675696
335	0.3708658692
336	0.3707625159
337	0.3705051792
338	0.3703302485
339	0.3701629337
340	0.3700450517
341	0.3700412773
342	0.3698422364
343	0.3696989758
344	0.369529664
345	0.3693296597
346	0.3692231727
347	0.3689954718
348	0.3688774285
349	0.3685403543
350	0.3683692161
351	0.3682953778
352	0.3680138871
353	0.3679642792
354	0.3677877723
355	0.3675031211
356	0.3674239175
357	0.3671971944
358	0.3671884074
359	0.3671729193
360	0.366944176
361	0.3668029081
362	0.3666698544
363	0.3666210801
364	0.3664646678
365	0.3662621798
366	0.3661542015
367	0.3659005962
368	0.3658677881
369	0.3656584499
370	0.3655582399
371	0.3653928949
372	0.3651177715
373	0.3648970364
374	0.3648191667
375	0.3647393767
376	0.3645280041
377	0.3644147481
378	0.3643006693
379	0.3641939684
380	0.3640592463
381	0.3639572479
382	0.363785782
383	0.3636625386
384	0.3636306365
385	0.3635840747
386	0.3633424838
387	0.363168004
388	0.3630269531
389	0.3627927808
390	0.3625435411
391	0.3624479925
392	0.3622728027
393	0.3621494846
394	0.3620927685
395	0.3619923095
396	0.3618357155
397	0.3617709904
398	0.3616150227
399	0.3614630892
400	0.3613221654
401	0.3611500278
402	0.3609951842
403	0.3609583251
404	0.3608393697
405	0.3607132732
406	0.3606934747
407	0.3606291322
408	0.3604137574
409	0.3601720633
410	0.3600312225
411	0.3598228543
412	0.3597499027
413	0.3597451674
414	0.3595142326
415	0.359243109
416	0.3592241278
417	0.3591534249
418	0.3590503713
419	0.3589208022
420	0.3587908114
421	0.3586580213
422	0.3584794747
423	0.3583792132
424	0.3582575323
425	0.3581198327
426	0.3580599764
427	0.3578882075
428	0.3578797237
429	0.3577648932
430	0.3576365962
431	0.3574114019
432	0.3572356973
433	0.3570934327
434	0.3569109318
435	0.3567848055
436	0.3566160247
437	0.3564254796
438	0.3563623698
439	0.3561964982
440	0.3561536854
441	0.3559882672
442	0.3558564803
443	0.3557694156
444	0.3556234567
445	0.3555025486
446	0.3554697825
447	0.3554191826
448	0.3553314226
449	0.3553176519
450	0.3551781828
451	0.3551553878
452	0.3550331634
453	0.3548647152
454	0.3547898992
455	0.3547055798
456	0.35465876
457	0.3545588841
458	0.3545576578
459	0.3544425747
460	0.3544111468
461	0.3541080326
462	0.3540201669
463	0.3540189656
464	0.3539047381
465	0.3537682548
466	0.3537679342
467	0.3537148388
468	0.3536979379
469	0.3536172933
470	0.3535048484
471	0.3531889772
472	0.353177288
473	0.3530965776
474	0.3530430894
475	0.3530236858
476	0.3529742367
477	0.3528643279
478	0.3527660735
479	0.3527449645
480	0.3526363845
481	0.3524313802
482	0.3522603893
483	0.3522328043
484	0.3521388489
485	0.352049668
486	0.3519647113
487	0.3517946134
488	0.3516281075
489	0.3515569578
490	0.3514390065
491	0.3514318027
492	0.3513564724
493	0.3512661191
494	0.3511696433
495	0.3509903108
496	0.3509192321
497	0.3508759244
498	0.3507113781
499	0.3506415651
500	0.3505873401
501	0.3505137541
502	0.3503224894
503	0.3503137042
504	0.3501976717
505	0.3500134305
506	0.3499012046
507	0.3498136491
508	0.3497143842
509	0.3495216725
510	0.3493987109
511	0.349255912
512	0.3492209551
513	0.3490903619
514	0.3489999607
515	0.3489900466
516	0.3489360217
517	0.3489358996
518	0.3488769314
519	0.3488129135
520	0.3487203202
521	0.3487058766
522	0.3486694292
523	0.3485841544
524	0.3485413325
525	0.3485403317
526	0.34853494
527	0.3484601082
528	0.3484501626
529	0.3483646543
530	0.3482651722
531	0.3482009812
532	0.3481049988
533	0.3478987668
534	0.347812369
535	0.3477676528
536	0.3476353402
537	0.3474645348
538	0.3472595298
539	0.3471314807
540	0.346910944
541	0.3467855957
542	0.346764136
543	0.3467545105
544	0.3466701656
545	0.3465632725
546	0.3464879669
547	0.3462852781
548	0.3462552083
549	0.3461542263
550	0.3461490896
551	0.3460912098
552	0.3460744012
553	0.3460058999
554	0.3458832068
555	0.3457219575
556	0.345602426
557	0.3455616811
558	0.3454289776
559	0.3453652792
560	0.3451847094
561	0.3451202848
562	0.3450786494
563	0.3450748482
564	0.3449376091
565	0.3448358625
566	0.3446544891
567	0.3446438271
568	0.3444973366
569	0.3444000286
570	0.3442770184
571	0.3442208429
572	0.3441449869
573	0.3440797693
574	0.3439884493
575	0.3439734281
576	0.3438890571
577	0.3437458286
578	0.3436479778
579	0.3435967216
580	0.3435425099
581	0.3433449298
582	0.3433190536
583	0.3432422511
584	0.3431819561
585	0.3431043146
586	0.3430488646
587	0.3429506908
588	0.3428668552
589	0.3428488
590	0.3426992082
591	0.3426043453
592	0.3424623175
593	0.3422926276
594	0.342214878
595	0.3421310796
596	0.3420694689
597	0.3420020593
598	0.3419063279
599	0.3417700567
600	0.3416384587
601	0.3415148583
602	0.341454649
603	0.3414085769
604	0.3413148384
605	0.3412149575
606	0.3411407431
607	0.3409756479
608	0.340912311
609	0.3407522081
610	0.3406702439
611	0.340656664
612	0.3405980483
613	0.3405114313
614	0.3403890191
615	0.3402510952
616	0.3400442226
617	0.3399654352
618	0.3399552163
619	0.3399236563
620	0.3398493711
621	0.3398493681
622	0.3397883744
623	0.3397878883
624	0.3397012292
625	0.3395512878
626	0.339448604
627	0.3393610441
628	0.3392942707
629	0.3391349311
630	0.3391163129
631	0.3390127519
632	0.3388784256
633	0.3386992302
634	0.3386404939
635	0.3386355695
636	0.3385401463
637	0.338463285
638	0.3384101839
639	0.338333448
640	0.3383261262
641	0.3383116477
642	0.3382873269
643	0.3382552068
644	0.3381014477
645	0.337987046
646	0.3379357127
647	0.3378708383
648	0.3378552693
649	0.3378115943
650	0.3377159633
651	0.337646663
652	0.3376128174
653	0.3375784821
654	0.3374822473
655	0.3373834741
656	0.337326772
657	0.3371935481
658	0.3370785964
659	0.3369624023
660	0.3368028001
661	0.3366853057
662	0.3366829597
663	0.3366258019
664	0.3365221556
665	0.3364585132
666	0.3364135143
667	0.3364067046
668	0.3362913156
669	0.3362494804
670	0.336194071
671	0.3361053049
672	0.336029509
673	0.3359086159
674	0.3358126713
675	0.3357455971
676	0.3355772231
677	0.3354983494
678	0.3353987579
679	0.3353123732
680	0.3352715546
681	0.33519907
682	0.3351027027
683	0.3350910452
684	0.3349752159
685	0.3348866236
686	0.3347886819
687	0.3346238885
688	0.3345434431
689	0.3344838633
690	0.3344180958
691	0.3344014844
692	0.3343941658
693	0.3343290552
694	0.3342697823
695	0.3342109299
696	0.3341277018
697	0.3341148663
698	0.3340835262
699	0.3339317888
700	0.333788258
701	0.3337462304
702	0.3336368529
703	0.333567978
704	0.3333818337
705	0.3332744407
706	0.3331522273
707	0.3330784307
708	0.3330156395
709	0.3329479004
710	0.3328560025
711	0.3327536292
712	0.3326360491
713	0.3324971133
714	0.332369142
715	0.3322389948
716	0.3321486448
717	0.3320842547
718	0.3320160037
719	0.3318472047
720	0.3317733915
721	0.3317397097
722	0.3316074447
723	0.3315532881
724	0.3314476787
725	0.3313289146
726	0.3313234437
727	0.3312874214
728	0.3312592291
729	0.3311249803
730	0.3309517811
731	0.3308854726
732	0.3308255715
733	0.3307805126
734	0.3307358079
735	0.3306123924
736	0.3304161299
737	0.3303046493
738	0.3301929579
739	0.3301123652
740	0.3300549457
741	0.3300251643
742	0.3298386892
743	0.3296483399
744	0.329600843
745	0.3295019544
746	0.3294315804
747	0.3294027644
748	0.3292890301
749	0.3292164666
750	0.3291751955
751	0.3290648258
752	0.329003407
753	0.3288589848
754	0.3288112858
755	0.3286352945
756	0.32848144
757	0.3284084884
758	0.3283758455
759	0.3282487103
760	0.3281450649
761	0.3281125232
762	0.3280380275
763	0.3279307461
764	0.3278836188
765	0.3277150295
766	0.3274994208
767	0.3274346042
768	0.3274168508
769	0.3273679478
770	0.3272846934
771	0.3272499419
772	0.3271522038
773	0.3270198234
774	0.3269404166
775	0.326834763
776	0.3268248472
777	0.3268103111
778	0.3267040415
779	0.3266640175
780	0.3265701284
781	0.3265360669
782	0.3264188104
783	0.3262952017
784	0.3261901326
785	0.3260884918
786	0.3260571281
787	0.3259835458
788	0.3259403481
789	0.3256921035
790	0.3254986286
791	0.3253510883
792	0.3253251728
793	0.3251821904
794	0.3251737439
795	0.3250953709
796	0.3250245692
797	0.3248809144
798	0.3248483658
799	0.3247744778
800	0.3247089535
801	0.3246663529
802	0.3245722623
803	0.3245222037
804	0.3243585595
805	0.3243050571
806	0.3241013215
807	0.3239505314
808	0.3238817612
809	0.3237993216
810	0.3237896615
811	0.3237240001
812	0.3236103618
813	0.3234077823
814	0.3233395942
815	0.3233146103
816	0.3232281799
817	0.3231130732
818	0.3230659987
819	0.3230567091
820	0.3229870378
821	0.3229158726
822	0.3228587339
823	0.3227361127
824	0.3227019985
825	0.3225965278
826	0.3225492478
827	0.3224710119
828	0.3224578382
829	0.3223356136
830	0.3221960359
831	0.3220840152
832	0.3219868692
833	0.321904681
834	0.3218700118
835	0.3216700199
836	0.3216309808
837	0.3215941366
838	0.3215527067
839	0.3213129233
840	0.321235911
841	0.3212066947
842	0.3211651322
843	0.3211016774
844	0.3209542411
845	0.3208133975
846	0.320763331
847	0.3206284796
848	0.3205414381
849	0.3204413847
850	0.3204332005
851	0.3203112131
852	0.3202499488
853	0.3201710566
854	0.320142615
855	0.3199522801
856	0.3197961486
857	0.3197583151
858	0.3196964913
859	0.31953218
860	0.3194597945
861	0.3193134937
862	0.3192729743
863	0.3191960458
864	0.3191101038
865	0.3190453546
866	0.3189748696
867	0.3188943232
868	0.318833178
869	0.318752477
870	0.3187045335
871	0.3186489483
872	0.3185354409
873	0.3185333084
874	0.3184945164
875	0.3184413032
876	0.318232714
877	0.3182219299
878	0.3181672026
879	0.3181010927
880	0.3180423106
881	0.3180164597
882	0.3178488711
883	0.3177892895
884	0.3177435267
885	0.3177026658
886	0.3176270272
887	0.3174147138
888	0.3173194873
889	0.3172429758
890	0.3170795718
891	0.3168167728
892	0.3168052764
893	0.3167223231
894	0.3166310496
895	0.3164868475
896	0.3163741042
897	0.3162999997
898	0.3161664253
899	0.3160186797
900	0.3159317344
901	0.3157232436
902	0.3155130033
903	0.3154116392
904	0.3152993703
905	0.3152308009
906	0.3149918143
907	0.3149500892
908	0.3148262258
909	0.3147548801
910	0.3147084945
911	0.3146773443
912	0.3145116322
913	0.3144838409
914	0.3144134589
915	0.3141827311
916	0.3140875398
917	0.3139132749
918	0.3138704318
919	0.313818302
920	0.3137636283
921	0.313715284
922	0.3136397224
923	0.3134402548
924	0.3133940672
925	0.3133283935
926	0.313277346
927	0.3131744945
928	0.3131237465
929	0.3130544689
930	0.3129256073
931	0.3128900628
932	0.3127761448
933	0.3127231542
934	0.3126856023
935	0.3126095003
936	0.3124660939
937	0.3123853478
938	0.3122873187
939	0.3119976783
940	0.3119222146
941	0.3118669993
942	0.3117328557
943	0.3116353522
944	0.3116007069
945	0.3115495599
946	0.3115093829
947	0.3113456896
948	0.3113014398
949	0.3111377944
950	0.3110875204
951	0.3110055654
952	0.3109520807
953	0.310874239
954	0.3108360155
955	0.3107900539
956	0.3106142999
957	0.3105532123
958	0.3105026703
959	0.3104262694
960	0.3103131164
961	0.3102646793
962	0.3100610115
963	0.3098844252
964	0.3097610431
965	0.3095933125
966	0.3094146537
967	0.309282139
968	0.3092481565
969	0.3092169423
970	0.3090306975
971	0.3088921668
972	0.3088523787
973	0.3087828476
974	0.30859205
975	0.308552889
976	0.3084919094
977	0.3084169379
978	0.3083651559
979	0.308120203
980	0.307957303
981	0.3079318524
982	0.3077604916
983	0.3075398646
984	0.3074745218
985	0.3073011507
986	0.3072316287
987	0.3071780328
988	0.3070472885
989	0.3069948605
990	0.3069162351
991	0.3068628845
992	0.3066746074
993	0.3065924296
994	0.3065352656
995	0.3064670188
996	0.3064628033
997	0.3062913322
998	0.3061801082
999	0.306102131
